Magic: 04001a1a
Num anim entries: 5442
780f 0f78 = AAStand_Emote_CrackknucklesToMuscFem
790f 0f79 = AAStand_Emote_CrackknucklesToPreProd
7a0f 0f7a = AA_kuckles_MaleConversion
6400 0064 = AD_ADLb_ALb
7a14 147a = AD_ADLb_Aggro
6500 0065 = AD_ADLb_iLb
6800 0068 = AD_A_SRFM_ADLbCartwheelToTomoNage
6900 0069 = AD_A_SRFM_ADLbKoteGaeshiKoteGaeshi_B50
6a00 006a = AD_A_SR_ADLbArmbarToKotogaeshi
6b00 006b = AD_A_SR_ADLbBlockKokyoNage_F90
6c00 006c = AD_A_SR_ADLbBreathThrow_F50
6d00 006d = AD_A_SR_ADLbGrabToArmbarTakedown
6e00 006e = AD_A_SR_ADLbLegTwistThrowDXL
d614 14d6 = AD_A_SR_ADLbShortArmbarKoto
6f00 006f = AD_A_SR_ADLbShoulderLockMakiOtoshi_F50
7000 0070 = AD_A_SR_ADLbShoulderThrow_F50
7100 0071 = AD_A_SR_ADLbUpperBlockWristThrow
7200 0072 = AD_A_SR_ADLb_BlockFailedPunch
9115 1591 = AD_A_SR_ADLb_BlockIdle
9215 1592 = AD_A_SR_ADLb_BlockTaunt
7300 0073 = AD_A_SR_ADLb_Hesitate
7400 0074 = AD_A_SR_ADLb_HesitateDraw
2a0f 0f2a = AD_A_SR_ADLb_HesitateDraw_2
b710 10b7 = AD_A_SR_ADLb_HesitateDraw_3
7500 0075 = AD_A_SR_BlockFailedPunch_ADLb
6600 0066 = AD_Arc_L40
6700 0067 = AD_Arc_R40
7f00 007f = AD_D_SR_ADLb_BPegHF
8000 0080 = AD_D_SR_ADLb_BPegHL
8100 0081 = AD_D_SR_ADLb_BPegHR
8200 0082 = AD_D_SR_ADLb_BPegLF
8300 0083 = AD_D_SR_ADLb_BPegLL
8400 0084 = AD_D_SR_ADLb_BPegLR
8500 0085 = AD_D_SR_ADLb_BPegMF
8600 0086 = AD_D_SR_ADLb_BPegML
8700 0087 = AD_D_SR_ADLb_BPegMR
8800 0088 = AD_D_SR_ADLb_BSegA
8900 0089 = AD_D_SR_ADLb_BSegB
8a00 008a = AD_D_SR_ADLb_BSegC
7600 0076 = AD_D_SR_ADLb_BlockFromHF
7700 0077 = AD_D_SR_ADLb_BlockFromHL
7800 0078 = AD_D_SR_ADLb_BlockFromHR
7900 0079 = AD_D_SR_ADLb_BlockFromLF
7a00 007a = AD_D_SR_ADLb_BlockFromLL
7b00 007b = AD_D_SR_ADLb_BlockFromLR
7c00 007c = AD_D_SR_ADLb_BlockFromMF
7d00 007d = AD_D_SR_ADLb_BlockFromML
7e00 007e = AD_D_SR_ADLb_BlockFromMR
9315 1593 = AD_D_SR_ADLb_BlockIdle
9415 1594 = AD_D_SR_ADLb_BlockTaunt
9700 0097 = AD_D_SR_ADLb_DPegHF
9800 0098 = AD_D_SR_ADLb_DPegHL
9900 0099 = AD_D_SR_ADLb_DPegHR
9a00 009a = AD_D_SR_ADLb_DPegLF
9b00 009b = AD_D_SR_ADLb_DPegLL
9c00 009c = AD_D_SR_ADLb_DPegLR
9d00 009d = AD_D_SR_ADLb_DPegMF
9e00 009e = AD_D_SR_ADLb_DPegML
9f00 009f = AD_D_SR_ADLb_DPegMR
a000 00a0 = AD_D_SR_ADLb_DSegA
a100 00a1 = AD_D_SR_ADLb_DSegB
a200 00a2 = AD_D_SR_ADLb_DSegC
8b00 008b = AD_D_SR_ADLb_DodgeFromHB
8c00 008c = AD_D_SR_ADLb_DodgeFromHF
8d00 008d = AD_D_SR_ADLb_DodgeFromHL
8e00 008e = AD_D_SR_ADLb_DodgeFromHR
8f00 008f = AD_D_SR_ADLb_DodgeFromLB
9000 0090 = AD_D_SR_ADLb_DodgeFromLF
9100 0091 = AD_D_SR_ADLb_DodgeFromLL
9200 0092 = AD_D_SR_ADLb_DodgeFromLR
9300 0093 = AD_D_SR_ADLb_DodgeFromMB
9400 0094 = AD_D_SR_ADLb_DodgeFromMF
9500 0095 = AD_D_SR_ADLb_DodgeFromML
9600 0096 = AD_D_SR_ADLb_DodgeFromMR
a300 00a3 = AD_D_SR_ADLb_FailedPunch_F50
a600 00a6 = AD_D_SR_ADLb_HPeg
a700 00a7 = AD_D_SR_ADLb_HSeg
a400 00a4 = AD_D_SR_ADLb_Hesitate
a500 00a5 = AD_D_SR_ADLb_HesitateDraw
2b0f 0f2b = AD_D_SR_ADLb_HesitateDraw_2
b810 10b8 = AD_D_SR_ADLb_HesitateDraw_3
b100 00b1 = AD_D_SR_BPegHF_ADLb
b200 00b2 = AD_D_SR_BPegHF_ADLb_B50
b300 00b3 = AD_D_SR_BPegHL_ADLb
b400 00b4 = AD_D_SR_BPegHL_ADLb_B50
b500 00b5 = AD_D_SR_BPegHR_ADLb
b600 00b6 = AD_D_SR_BPegHR_ADLb_B50
b700 00b7 = AD_D_SR_BPegLF_ADLb
b800 00b8 = AD_D_SR_BPegLF_ADLb_B50
b900 00b9 = AD_D_SR_BPegLL_ADLb
ba00 00ba = AD_D_SR_BPegLL_ADLb_B50
bb00 00bb = AD_D_SR_BPegLR_ADLb
bc00 00bc = AD_D_SR_BPegLR_ADLb_B50
bd00 00bd = AD_D_SR_BPegMF_ADLb
be00 00be = AD_D_SR_BPegMF_ADLb_B50
bf00 00bf = AD_D_SR_BPegML_ADLb
c000 00c0 = AD_D_SR_BPegML_ADLb_B50
c100 00c1 = AD_D_SR_BPegMR_ADLb
c200 00c2 = AD_D_SR_BPegMR_ADLb_B50
c300 00c3 = AD_D_SR_BSegA_ADLb
c400 00c4 = AD_D_SR_BSegB_ADLb
c500 00c5 = AD_D_SR_BSegC_ADLb
a800 00a8 = AD_D_SR_BlockFromHF_ADLb
a900 00a9 = AD_D_SR_BlockFromHL_ADLb
aa00 00aa = AD_D_SR_BlockFromHR_ADLb
ab00 00ab = AD_D_SR_BlockFromLF_ADLb
ac00 00ac = AD_D_SR_BlockFromLL_ADLb
ad00 00ad = AD_D_SR_BlockFromLR_ADLb
ae00 00ae = AD_D_SR_BlockFromMF_ADLb
af00 00af = AD_D_SR_BlockFromML_ADLb
b000 00b0 = AD_D_SR_BlockFromMR_ADLb
d200 00d2 = AD_D_SR_DPegHF_ADLb
d300 00d3 = AD_D_SR_DPegHF_ADLb_B50
d400 00d4 = AD_D_SR_DPegHL_ADLb
d500 00d5 = AD_D_SR_DPegHL_ADLb_B50
d600 00d6 = AD_D_SR_DPegHR_ADLb
d700 00d7 = AD_D_SR_DPegHR_ADLb_B50
d800 00d8 = AD_D_SR_DPegLF_ADLb
d900 00d9 = AD_D_SR_DPegLF_ADLb_B50
da00 00da = AD_D_SR_DPegLL_ADLb
db00 00db = AD_D_SR_DPegLL_ADLb_B50
dc00 00dc = AD_D_SR_DPegLR_ADLb
dd00 00dd = AD_D_SR_DPegLR_ADLb_B50
de00 00de = AD_D_SR_DPegMF_ADLb
df00 00df = AD_D_SR_DPegMF_ADLb_B50
e000 00e0 = AD_D_SR_DPegML_ADLb
e100 00e1 = AD_D_SR_DPegML_ADLb_B50
e200 00e2 = AD_D_SR_DPegMR_ADLb
e300 00e3 = AD_D_SR_DPegMR_ADLb_B50
e400 00e4 = AD_D_SR_DSegA_ADLb
e500 00e5 = AD_D_SR_DSegB_ADLb
e600 00e6 = AD_D_SR_DSegC_ADLb
c600 00c6 = AD_D_SR_DodgeFromHB_ADLb
c700 00c7 = AD_D_SR_DodgeFromHF_ADLb
c800 00c8 = AD_D_SR_DodgeFromHL_ADLb
