LITTLE      BIG             SYMBOLICNAME
9dc7de12 12dec79d = FX_DT_STYLE_SPRITE_ADS_SPRITE_AD_01
9ec7de12 12dec79e = FX_DT_STYLE_SPRITE_ADS_SPRITE_AD_02
d2000028 280000d2 = FX_CHARACTER_EXIT_THE_MATRIX
19040028 28000419 = FX_CHARACTER_DISGUISE_MASK
1b040028 2800041b = FX_CHARACTER_GENERIC_ABILITY_UPGRADE
27040028 28000427 = FX_CHARACTER_DISCONNECTED_PLAYER
30040028 28000430 = FX_CHARACTER_HEALTH_DRAIN
37040028 28000437 = FX_CHARACTER_GENERIC_ABILITY_DOWNGRADE
3a040028 2800043a = FX_CHARACTER_ENTER_THE_MATRIX
94040028 28000494 = FX_CHARACTER_POLY_TRAIL
9f040028 2800049f = FX_CHARACTER_BLUR
a0040028 280004a0 = FX_CHARACTER_ARMOR
a1040028 280004a1 = FX_CHARACTER_IMPAIRED_CONNECTION
a2040028 280004a2 = FX_CHARACTER_IMAGE_TRAIL
a4040028 280004a4 = FX_CHARACTER_INVISIBLE
a7040028 280004a7 = FX_INVISIBLITY_OTHERS_RAMP_UP
a9040028 280004a9 = FX_INVISIBLITY_OTHERS_RAMP_DOWN
aa040028 280004aa = FX_INVISIBLITY_SELF_LOOP
ab040028 280004ab = FX_INVISIBLITY_SELF_RAMP_UP
ac040028 280004ac = FX_INVISIBLITY_SELF_RAMP_DOWN
ec040028 280004ec = FX_CHARACTER_BACKFIRE
f8040028 280004f8 = FX_CHARACTER_LUGGABLE_UPGRADE
1a050028 2800051a = FX_AGENT_TRANSFORM_AGENT_TRANSFORM
1b050028 2800051b = FX_AGENT_TRANSFORM_NPC_AGENT_TRANSFORM
4a050028 2800054a = FX_CHARACTER_TAP_DATA_NODE
9c050028 2800059c = FX_CHARACTER_DEFLECTION
b2050028 280005b2 = FX_CHARACTER_MESSAGE_CLOUD_END
b3050028 280005b3 = FX_CHARACTER_MESSAGE_CLOUD_MIDDLE
b6050028 280005b6 = FX_CHARACTER_NINJA_VANISH
b7050028 280005b7 = FX_CHARACTER_NINJA_REAPPEAR
b9050028 280005b9 = FX_CHARACTER_LEVEL_UP
d2050028 280005d2 = FX_HACKER_HEALTH_CASTBASE
d5050028 280005d5 = FX_HACKER_BUFF_CASTBASE
d6050028 280005d6 = FX_HACKER_DEBUFF_CASTBASE
d7050028 280005d7 = FX_HACKER_DAMAGE_CASTBASE
d9050028 280005d9 = FX_CHARACTER_VISION_DISRUPTION_CAST
da050028 280005da = FX_CHARACTER_MOVEMENT_DISRUPTION_CAST
db050028 280005db = FX_CHARACTER_STUN_CAST
dc050028 280005dc = FX_CHARACTER_DISABLE_ABILITY_CAST
de050028 280005de = FX_CHARACTER_DELETE_UPGRADE_CAST
df050028 280005df = FX_CHARACTER_PACIFY_CAST
e0050028 280005e0 = FX_CHARACTER_CONFUSE_CAST
e1050028 280005e1 = FX_CHARACTER_ENRAGE_CAST
e3050028 280005e3 = FX_CHARACTER_LEECH_BOMB_CAST
e4050028 280005e4 = FX_CHARACTER_CRASH_CAST
e5050028 280005e5 = FX_CHARACTER_HARD_CRASH_CAST
e6050028 280005e6 = FX_CHARACTER_MULTIPARTITE_VISION_DISRUPTION_CAST
e7050028 280005e7 = FX_CHARACTER_MULTIPARTITE_MOVEMENT_DISRUPTION_CAST
e9050028 280005e9 = FX_CHARACTER_CORRUPTION_CAST
ea050028 280005ea = FX_CHARACTER_MULTIPARTITE_CORRUPTION_CAST
eb050028 280005eb = FX_CHARACTER_BUFFER_OVERFLOW_CAST
ec050028 280005ec = FX_CHARACTER_DELETE_ABILITY_CAST
ed050028 280005ed = FX_VIRUSCAST_SPLIT__BUFF__MIDDLE
ee050028 280005ee = FX_CHARACTER_OVERCLOCK_CAST
ef050028 280005ef = FX_CHARACTER_SHADOW_OBJECT_CAST
f0050028 280005f0 = FX_CHARACTER_UPGRADE_CAST
f1050028 280005f1 = FX_CHARACTER_REDIRECT_VIRUS_CAST
f2050028 280005f2 = FX_CHARACTER_SIGNAL_BOUNCE_CAST
f3050028 280005f3 = FX_CHARACTER_HEALTH_REPLENISH_CAST
f4050028 280005f4 = FX_CHARACTER_MULTIPARTITE_HEALTH_REPLENISH_CAST
f5050028 280005f5 = FX_CHARACTER_HEALTH_BOOST_CAST
f6050028 280005f6 = FX_CHARACTER_MULTIPARTITE_HEALTH_BOOST_CAST
f7050028 280005f7 = FX_CHARACTER_HEALTH_REGENERATION_CAST
f8050028 280005f8 = FX_CHARACTER_MULTIPARTITE_HEALTH_REGENERATION_CAST
f9050028 280005f9 = FX_CHARACTER_KARATE_SIMULACRA_CAST
fa050028 280005fa = FX_HACKER_SIMULACRA_CASTBASE
fb050028 280005fb = FX_CHARACTER_KUNGFU_SIMULACRA_CAST
fc050028 280005fc = FX_CHARACTER_AIKIDO_SIMULACRA_CAST
fd050028 280005fd = FX_CHARACTER_PISTOL_SIMULACRA_CAST
fe050028 280005fe = FX_CHARACTER_SMG_SIMULACRA_CAST
ff050028 280005ff = FX_CHARACTER_RIFLE_SIMULACRA_CAST
00060028 28000600 = FX_CHARACTER_GAUSSIAN_BLUR_CAST
01060028 28000601 = FX_CHARACTER_FIREWALL_CAST
07060028 28000607 = FX_HACKER_BUFF_TARGETBASE
08060028 28000608 = FX_CHARACTER_LOGIC_BOMB_CAST
09060028 28000609 = FX_HACKER_HEALTH_TARGETBASE
0a060028 2800060a = FX_HACKER_DAMAGE_TARGETBASE
0b060028 2800060b = FX_HACKER_DEBUFF_TARGETBASE
0c060028 2800060c = FX_HACKER_SIMULACRA_SUMMON_BASE
0d060028 2800060d = FX_HACKER_SIMULACRA_DEATH_BASE
0e060028 2800060e = FX_HACKER_SIMULACRA_DISMISS_BASE
0f060028 2800060f = FX_CHARACTER_FIREWALL
10060028 28000610 = FX_CHARACTER_ENRAGE
17060028 28000617 = FX_CHARACTER_VISION_DISRUPTION_COMPONENT
18060028 28000618 = FX_CHARACTER_VISION_DISRUPTION
19060028 28000619 = FX_CHARACTER_MOVEMENT_DISRUPTION
1a060028 2800061a = FX_CHARACTER_STUN
1b060028 2800061b = FX_CHARACTER_DISABLE_ABILITY
1c060028 2800061c = FX_CHARACTER_DELETE_UPGRADE
1d060028 2800061d = FX_CHARACTER_PACIFY
1f060028 2800061f = FX_CHARACTER_CONFUSE
20060028 28000620 = FX_CHARACTER_LOGIC_BOMB
21060028 28000621 = FX_CHARACTER_LEECH_BOMB
22060028 28000622 = FX_CHARACTER_CRASH
23060028 28000623 = FX_CHARACTER_HARD_CRASH
24060028 28000624 = FX_CHARACTER_MULTIPARTITE_VISION_DISRUPTION
