GoidDecimal;ClothesType;ShortName;ItemName;ModelId;ColorId
46568;FEMALE COAT;01areaKTrenchF;Area K Trenchcoat;15;1
47245;FEMALE COAT;Archive5MachFSuit;System Suit;18;0
47241;FEMALE COAT;Archive5MervFTrench;Blood Noble Trench;17;0
46406;FEMALE COAT;ArchiveMervFTrench;Demon Army Trench;14;1
39222;FEMALE COAT;DungeonHammervilleFCoat1;Ravenswing;7;3
42928;FEMALE COAT;DungeonHammervilleFCoat1R1;Ravenswing;7;3
38307;FEMALE COAT;DungeonHammervilleFCoat2;Ravenstail;7;3
42929;FEMALE COAT;DungeonHammervilleFCoat2R1;Ravenstail;7;3
39223;FEMALE COAT;DungeonHammervilleFCoat3;Ravensfeather;7;3
42930;FEMALE COAT;DungeonHammervilleFCoat3R1;Ravensfeather;7;3
39225;FEMALE COAT;DungeonHarajukoFCoat1;Lionskin Wrap;8;5
38312;FEMALE COAT;DungeonHarajukoFCoat2;Tigerskin Wrap;8;5
39226;FEMALE COAT;DungeonHarajukoFCoat3;Dragonskin Wrap;8;5
38314;FEMALE COAT;DungeonRidgeWayFCoat1;Dark Shadow Jacket;6;13
42940;FEMALE COAT;DungeonRidgeWayFCoat1R1;Dark Shadow Jacket;6;13
39228;FEMALE COAT;DungeonRidgeWayFCoat2;Black Shadow Jacket;6;13
42941;FEMALE COAT;DungeonRidgeWayFCoat2R1;Black Shadow Jacket;6;13
38316;FEMALE COAT;DungeonRidgeWayFCoat3;Deep Shadow Jacket;6;13
42942;FEMALE COAT;DungeonRidgeWayFCoat3R1;Deep Shadow Jacket;6;13
39234;FEMALE COAT;DungeonSouthVauxtonFCoat1;Blackwolf Coat;2;10
38324;FEMALE COAT;DungeonSouthVauxtonFCoat2;Greywolf Coat;2;10
39235;FEMALE COAT;DungeonSouthVauxtonFCoat3;Direwolf Skin;2;10
38115;FEMALE COAT;EggFCoat;Egg's Shell;8;0
47138;FEMALE COAT;EliteCommFCoat;Elite Commando Jacket;16;0
38145;FEMALE COAT;EthanFCoat;Mother Coat;1;9
42900;FEMALE COAT;EthanFCoatR1;Mother Coat;1;9
38142;FEMALE COAT;GregoreFCoat;Vampire Coat;14;1
42908;FEMALE COAT;GregoreFCoatR1;Vampire Coat;14;1
48041;FEMALE COAT;HamptonFCoat;Hampton Jacket;19;0
47097;FEMALE COAT;IndustrialFCoat;Industrial Jacket;8;21
38204;FEMALE COAT;KatScratchFCoat;Kat Skin;8;19
42884;FEMALE COAT;KatScratchFCoatR1;Kat Skin;8;19
38090;FEMALE COAT;LoriporFCoat;Loripor's Jacket;3;2
42879;FEMALE COAT;LoriporFCoatR1;Loripor's Jacket;3;2
48179;FEMALE COAT;OmegaFCoat;Omega Trenchcoat;15;0
42691;FEMALE COAT;Pandora2_1FCoat;Tiger Acolyte's Coat;5;13
42692;FEMALE COAT;Pandora2_2FCoat;Tiger Warrior's Coat;5;13
42693;FEMALE COAT;Pandora2_3FCoat;Tiger Master's Coat;5;13
38161;FEMALE COAT;SergeantWynnFCoat;Winner's Coat;6;1
42745;FEMALE COAT;TransitionFCoat;Awakening Jacket;13;0
47943;FEMALE COAT;ValkFSuit;Valshamr;18;1
39516;FEMALE COAT;WidowsMoorFCoat;Widow's Moor Wool;6;4
46407;FEMALE GLASSES;ArchiveMachFGlasses;System Sunglasses;12;0
39508;FEMALE GLASSES;AshencourteFGlasses;Ashencourte Shades;5;0
38104;FEMALE GLASSES;CaspianFGlasses;Caspian's Sunglasses;1;0
42770;FEMALE GLASSES;CaspianFGlasses2;Caspian's Sunglasses;1;0
42886;FEMALE GLASSES;CaspianFGlassesR1;Caspian's Sunglasses;1;0
48053;FEMALE GLASSES;CloudedFGlasses;Clouded Spectacles;11;0
38318;FEMALE GLASSES;DungeonStanoFGlasses1;Detection Shades;5;2
42946;FEMALE GLASSES;DungeonStanoFGlasses1R1;Detection Shades;5;2
39237;FEMALE GLASSES;DungeonStanoFGlasses2;Perception Shades;5;2
42947;FEMALE GLASSES;DungeonStanoFGlasses2R1;Perception Shades;5;2
38320;FEMALE GLASSES;DungeonStanoFGlasses3;Watcher's Shades;5;2
42948;FEMALE GLASSES;DungeonStanoFGlasses3R1;Watcher's Shades;5;2
47142;FEMALE GLASSES;EliteCommFGlasses;Elite Commando Goggles;10;0
47126;FEMALE GLASSES;HeadlessFGlasses;Headless Glasses;1;9
38131;FEMALE GLASSES;LieutenantChangFGlasses;Viral Shades;5;4
38153;FEMALE GLASSES;MikahFGlasses;Hacker Glasses;5;1
38123;FEMALE GLASSES;OptixFGlasses;Optix Optics;5;4
42904;FEMALE GLASSES;OptixFGlassesR1;Optix Optics;5;4
38092;FEMALE GLASSES;ReactorFGlasses;Reaction Sunglasses;3;0
42890;FEMALE GLASSES;ReactorFGlassesR1;Reaction Sunglasses;3;0
38133;FEMALE GLASSES;ShockKiddFGlasses;Security Glasses;13;5
47901;FEMALE GLASSES;SleepFGlasses1;Blurred Sleepwalker Shades;5;8
47902;FEMALE GLASSES;SleepFGlasses2;Fogged Sleepwalker Shades;5;9
47903;FEMALE GLASSES;SleepFGlasses3;Opaque Sleepwalker Shades;5;10
47370;FEMALE GLASSES;SSRFGlasses;SSR Glasses;13;0
42743;FEMALE GLASSES;TransitionFGlasses;Awakening Glasses;9;0
47937;FEMALE GLASSES;ValkFGlassesRose;Rose-colored Glasses;13;1
47941;FEMALE GLASSES;ValkFGlassesValf;Valfreyja's Shield;13;3
47939;FEMALE GLASSES;ValkFGlassesValk;Valkyrja Glasses;13;2
39520;FEMALE GLASSES;WidowsMoorFGlasses;Widow's Moor Lenses;6;0
48047;FEMALE GLASSES;WireFGlasses;Wireframe Glasses;13;4
38140;FEMALE GLOVES;CormanFGloves;Tiger Claws;6;0
38299;FEMALE GLOVES;DungeonUriahFGloves1;Corrupt Hands;6;0
42916;FEMALE GLOVES;DungeonUriahFGloves1R1;Corrupt Hands;6;0
39240;FEMALE GLOVES;DungeonUriahFGloves2;Defiled Gloves;6;0
42917;FEMALE GLOVES;DungeonUriahFGloves2R1;Defiled Gloves;6;0
38301;FEMALE GLOVES;DungeonUriahFGloves3;Fighter's Gloves;6;0
42918;FEMALE GLOVES;DungeonUriahFGloves3R1;Fighter's Gloves;6;0
47146;FEMALE GLOVES;EliteCommFGloves;Elite Commando Gloves;11;0
48008;FEMALE GLOVES;IndustrialFGloves;Industrial Gloves;4;0
38094;FEMALE GLOVES;JackFGloves;Jack's Gloves;2;0
42898;FEMALE GLOVES;JackFGlovesR1;Jack's Gloves;2;0
38202;FEMALE GLOVES;KertonFGloves;Sublime Gloves;4;0
42881;FEMALE GLOVES;KertonFGlovesR1;Sublime Gloves;4;0
47783;FEMALE GLOVES;KunoFGlovesGranB;Black Kunoichi Grandmaster Tebukuro;15;0
47782;FEMALE GLOVES;KunoFGlovesGranG;Gray Kunoichi Grandmaster Tebukuro;14;0
47781;FEMALE GLOVES;KunoFGlovesGranW;White Kunoichi Grandmaster Tebukuro;13;0
47789;FEMALE GLOVES;KunoFGlovesInitB;Black Kunoichi Initiate Tebukuro;15;0
47788;FEMALE GLOVES;KunoFGlovesInitG;Gray Kunoichi Initiate Tebukuro;14;0
47787;FEMALE GLOVES;KunoFGlovesInitW;White Kunoichi Initiate Tebukuro;13;0
47786;FEMALE GLOVES;KunoFGlovesMastB;Black Kunoichi Master Tebukuro;15;0
47785;FEMALE GLOVES;KunoFGlovesMastG;Gray Kunoichi Master Tebukuro;14;0
47784;FEMALE GLOVES;KunoFGlovesMastW;White Kunoichi Master Tebukuro;13;0
47379;FEMALE GLOVES;OneZeroFRobotHands;10 Fingers;12;0
42690;FEMALE GLOVES;Pandora1_1FGloves;Doctor's Gloves;4;0
42689;FEMALE GLOVES;Pandora1_2FGloves;Surgeon's Gloves;4;0
42688;FEMALE GLOVES;Pandora1_3FGloves;Torturer's Gloves;4;0
47108;FEMALE GLOVES;QuicksilverFGloves;Quicksilver Gloves;5;0
39510;FEMALE GLOVES;SakuraFGloves;Sakura Ninja Gloves;5;0
38118;FEMALE GLOVES;StraightEdgeJohnFGloves;Pugilist's Gloves;4;0
42902;FEMALE GLOVES;StraightEdgeJohnFGlovesR1;Pugilist's Gloves;4;0
46436;FEMALE GLOVES;StraightEdgeJohnFGlovesR2;Pugilist's Gloves;4;0
38163;FEMALE GLOVES;WinstonFGloves;Reactive Gloves;3;0
39498;FEMALE GLOVES;YukiFGloves;Yuki Ninja Gloves;5;0
48172;FEMALE HAT;AccCapFHat;Accelerated Captain's Beret;45;0
46405;FEMALE HAT;ArchiveZionFBeret;Red Eye Beret;28;0
38125;FEMALE HAT;ClarkeFHat;Sparkling Fedora;6;0
42906;FEMALE HAT;ClarkeFHatR1;Sparkling Fedora;6;0
47006;FEMALE HAT;CorruptPatchersBandF;Patcher's Bandana;32;0
47004;FEMALE HAT;CorruptPatchersHatF;Patcher's Hat;31;0
47008;FEMALE HAT;CorruptPatchersHeadF;Patcher's Headgear;33;0
38308;FEMALE HAT;DungeonGracyHeightsFHat1;Euphoricap;3;0
42934;FEMALE HAT;DungeonGracyHeightsFHat1R1;Euphoricap;3;0
39219;FEMALE HAT;DungeonGracyHeightsFHat2;Hygenicap;3;0
42935;FEMALE HAT;DungeonGracyHeightsFHat2R1;Hygenicap;3;0
38310;FEMALE HAT;DungeonGracyHeightsFHat3;Asepticap;3;0
42936;FEMALE HAT;DungeonGracyHeightsFHat3R1;Asepticap;3;0
47144;FEMALE HAT;EliteCommFHat;Elite Commando Helmet;35;0
48164;FEMALE HAT;ExecFCap;Executable Skullcap;46;0
48168;FEMALE HAT;ExecFHeader;Executable Header;48;0
48166;FEMALE HAT;ExecFMask;Executable Mask;47;0
48045;FEMALE HAT;GasFHat;Gas Mask;42;0
48049;FEMALE HAT;GrayBandanaFHat;Gray Bandana;43;0
47128;FEMALE HAT;IndustrialFHat;Industrial Fedora;34;0
