AbilityID	GOID	AbilityName	isCastAble	CastTime	CastAnimStart	CastAnimMid	CastAnimEnd	TargetAnim	ValueFrom	ValueTo	isBuff	BuffTime
0	-2147483648	None	false									
1	-2147482624	AdrenalineBoosterAbility	false									
2	-2147481600	AwakenedAbility	false									
3	-2147480576	None	false									
4	-2147479552	None	false									
5	-2147478528	CalmMindCalmBodyAbility	false									
6	-2147477504	ConsistentTechniqueAbility	false									
7	-2147476480	DetectVulnerabilityAbility	false									
8	-2147475456	EmptyMindAbility	false									
9	-2147474432	EnergizedAttacksAbility	false									
10	-2147473408	HyperDodgeAbility	false									
11	-2147472384	HyperJumpAbility	false									
12	-2147471360	HyperSpeedAbility	false									
13	-2147470336	HyperStrengthAbility	false									
14	-2147469312	PowerShotAbility	false									
15	-2147468288	PreciseBlowAbility	false									
16	-2147467264	PunishingBlowsAbility	false									
17	-2147466240	SelfDefenseAbility	false									
18	-2147465216	CoderAbility	false									
19	-2147464192	Decoy1Ability	false									
20	-2147463168	FortifySimulacra1Ability	false									
21	-2147462144	Lockdown1Ability	false									
22	-2147461120	LogicDaemon1Ability	false									
23	-2147460096	DeflectCodeAbility	false									
24	-2147459072	MinorRepairsAbility	false									
25	-2147458048	PowerBoost1Ability	false									
26	-2147457024	ProxyCoderAbility	false									
27	-2147456000	RemoteProxy1Ability	false									
28	-2147454976	RemoteProxy2Ability	false									
29	-2147453952	RemoteProxy3Ability	false									
30	-2147452928	RepairSimulacra1Ability	false									
31	-2147451904	RepairSimulacra2Ability	false									
32	-2147450880	RunProgramAbility	false									
33	-2147449856	StaticBlast1Ability	false									
34	-2147448832	StopProxy1Ability	false									
35	-2147447808	CodeShaperAbility	false									
36	-2147446784	TinkeringAbility	false									
37	-2147445760	WriteCodeAbility	false									
38	-2147444736	AreaDisruption1Ability	false									
39	-2147443712	BolsterHealth1Ability	false									
40	-2147442688	CodeFreeze1Ability	true									
41	-2147441664	CodeFreeze2Ability	true									
42	-2147440640	CombatAura1Ability	true									
43	-2147439616	DisruptInputs1Ability	true									
44	-2147438592	DownloadMissionMapAbility	false									
45	-2147437568	ExecuteProgramAbility	false									
46	-2147436544	FastHealing1Ability	true									
47	-2147435520	FreezeArea1Ability	false									
48	-2147434496	FreezeSystem1Ability	false									
49	-2147433472	GaussianBlur1Ability	false									
50	-2147432448	GroupRepairs2Ability	true									
51	-2147431424	GuardianHealerAbility	false									
52	-2147430400	HackerAbility	false									
53	-2147429376	HarmfulCodeAbility	false									
54	-2147428352	RestoreHealth4Ability	false									
55	-2147427328	HealerAbility	false									
56	-2147426304	GroupRepairs1Ability	true									
57	-2147425280	LogicBlast1Ability	true									
58	-2147424256	LogicBlast2Ability	true									
59	-2147423232	LogicBlast3Ability	true									
60	-2147422208	LogicBomb1Ability	true									
61	-2147421184	Miasma1Ability	true									
62	-2147420160	MovementAccelerator1Ability	true									
63	-2147419136	NetworkFirewall1Ability	false									
64	-2147418112	NetworkHackerAbility	false									
65	-2147417088	Overheat1Ability	false									
66	-2147416064	Overload1Ability	false									
67	-2147415040	PathogenistAbility	false									
