AbilityID;GOID;AbilityName;isCastAble;CastTime;CastAnimStart;CastAnimMid;CastAnimEnd;ActivationFX;ValueFrom;ValueTo;isBuff;BuffTime;executionFX
0;-2147483648;None;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
1;-2147482624;AdrenalineBoosterAbility;False;0;a5000028;a5000028;a6000028;671091276;0;0;False;0;0
2;-2147481600;AwakenedAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
3;-2147480576;None;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
4;-2147479552;None;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
5;-2147478528;CalmMindCalmBodyAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
6;-2147477504;ConsistentTechniqueAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
7;-2147476480;DetectVulnerabilityAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
8;-2147475456;EmptyMindAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
9;-2147474432;EnergizedAttacksAbility;False;0;a5000028;a5000028;a6000028;671090464;0;0;False;0;0
10;-2147473408;HyperDodgeAbility;False;0;a5000028;a5000028;a6000028;671091233;0;0;False;0;0
11;-2147472384;HyperJumpAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
12;-2147471360;HyperSpeedAbility;False;0;a5000028;a5000028;a6000028;671090262;0;0;False;0;0
13;-2147470336;HyperStrengthAbility;False;0;a5000028;a5000028;a6000028;671091159;25;0;False;0;0
14;-2147469312;PowerShotAbility;False;0;a5000028;a5000028;a6000028;671090470;10;0;False;0;0
15;-2147468288;PreciseBlowAbility;False;0;a5000028;a5000028;a6000028;671090459;0;0;False;0;0
16;-2147467264;PunishingBlowsAbility;False;0;a5000028;a5000028;a6000028;671090469;1;0;False;0;0
17;-2147466240;SelfDefenseAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
18;-2147465216;CoderAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
19;-2147464192;Decoy1Ability;True;2;a5000028;a5000028;a6000028;0;8000;0;False;0;0
20;-2147463168;FortifySimulacra1Ability;True;2;a5000028;a5000028;a6000028;671090781;0;0;False;0;0
21;-2147462144;Lockdown1Ability;True;2;a5000028;a5000028;a6000028;0;0;0;False;0;0
22;-2147461120;LogicDaemon1Ability;True;8;a5000028;a5000028;a6000028;0;0;0;False;0;0
23;-2147460096;DeflectCodeAbility;False;0;a5000028;a5000028;a6000028;0;0;0;False;0;0
24;-2147459072;MinorRepairsAbility;False;0;a5000028;a5000028;a6000028;0;33;0;False;0;0
