280006D5 = fx_character.fxl | fx_character_rooting_attack
28000722 = fx_character.fxl | combat_rev9_components_precise_throw_lefthand
860000EE = fx_character.fxl | Emotes_plugnose_female
86000101 = fx_character.fxl | Emotes_cheer_2_male
280007F1 = fx_character.fxl | viruscast_split_code_freeze_codefreeze1_start
280000C9 = fx_character.fxl | viruscast_split_combat_hacking_combathacking
280000D6 = fx_character.fxl | viruscast_split_weapons_boost_weaponsboost_middle
2800012F = fx_character.fxl | viruscast_split_restore_health_restore_health5_middle
28000193 = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator1_start
280001EB = fx_character.fxl | viruscast_split_infect_area_infectarea2
280007B1 = fx_character.fxl | viruscast_split_freeze_area_freezearea5_start
28000846 = fx_character.fxl | viruscast_split_daemonboost_daemonboost1_middle
2800098A = fx_character.fxl | viruscast_split_combat_enhancements_combatenhancements_righthand
5800005D = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_No
580000F8 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_ICanSendYouToPlaces
580000C6 = fx_dialog.fxl | Merovingian_Misc Lines_Merovingian_PersephoneCome
580001A0 = fx_dialog.fxl | Merovingian_Warns Threatening Player_Merovingian_YouCantThreatenMeAndLive
580001CE = fx_dialog.fxl | Merovingian_Speaks to New Recruit_Merovingian_ThereIsNoOneInTheMatrixWhoCanOffer
580001DC = fx_dialog.fxl | Merovingian_Takes Item_Merovingian_ExcellentYouHavePerformedWell
5800032E = fx_dialog.fxl | Niobe_Greets Ally_Niobe_HelloThere
86000110 = fx_handcombat.fxl | sounds_carbump_spin
DE000082 = fx_live_events.fxl | event_2_1_corrupted_v1_death_children_c_v1_head_death
280006DD = fx_object.fxl | fx_object_Interface_construct_zoom_callback
280009A1 = fx_object.fxl | fx_object_Interface_neighborhood_names_district_shirakaba
280009BD = fx_object.fxl | fx_object_Interface_neighborhood_names_pilsen
C600000A = fx_object.fxl | fx_object_optimizer_luggable
04000056 = fx_object.fxl | fx_object_archivewarsmall
8600010D = fx_props.fxl | props_sounds_zion_hardware
2800060E = fx_character.fxl | hacker_simulacra_dismiss_base
280006B5 = fx_character.fxl | fx_character_slowing_attack
860000A2 = fx_character.fxl | Emotes_cry_female
28000700 = fx_character.fxl | combat_rev9_components_energy_power_lefthand_flare
28000044 = fx_character.fxl | viruscast_split_code_freeze_codefreeze2_start
28000133 = fx_character.fxl | viruscast_split_restore_health_restore_health6_middle
28000148 = fx_character.fxl | viruscast_split_recall_missionteam_recall_missionteam
28000198 = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator2_start
280007D8 = fx_character.fxl | viruscast_split_disruption_field_disruptionfield_start
2800084A = fx_character.fxl | viruscast_split_daemonboost_daemonboost2_middle
28000883 = fx_character.fxl | viruscast_split_powerboost_powerboost_middle
28000975 = fx_character.fxl | viruscast_split_engagefoes_engagefoes_middle
5800009A = fx_dialog.fxl | Oracle_Random Quotes_Oracle_TheTruceHasntMadeThisSafeJustQuieter
58000092 = fx_dialog.fxl | Seraph_Misc Lines_Seraph_ThatsCorrect
5800017A = fx_dialog.fxl | Persephone_Misc Lines_Persephone_YouDontUnderstand
580001E8 = fx_dialog.fxl | Merovingian_Tries Recruiting Player_Merovingian_DontYouWantToBeOnTheWinningTeam
5800022B = fx_dialog.fxl | Oracle_Greets Ally_Oracle_WellLookWhatTheCatDraggedIn
580002AF = fx_dialog.fxl | Persephone_Requests Task_Persephone_TheresASmallFavorYouMayDoForMeIfYouAskNicely
580002BA = fx_dialog.fxl | Persephone_Speaks to New Recruit_Persephone_ILikeThat
580002DF = fx_dialog.fxl | Sati_Being Attacked_Sati_HelpMe
58000339 = fx_dialog.fxl | Niobe_Being Attacked_Niobe_LooksLikeWeveGotSomeTroubleHere
860001D0 = fx_dialog.fxl | StoryItems_MerovingianPersephoneAndTheAssasin
1200000E = fx_GoldenTickets.fxl | Transition_Clothing_Buff_V2_flaming_head_v2
28000782 = fx_object.fxl | fx_object_Interface_define_brain
040000C7 = fx_object.fxl | Untitled FX 2
4A00010C = fx_props.fxl | club_props_spotlights_angled_stationary_6m_red
22000037 = fx_sound_ambient.fxl | World Ext_Downtown 0
22000636 = fx_weapon.fxl | target_test
12463157 = fx_ads.fxl | Stand_Alone_Anim_Tex_Geom_Ads_anim_tex_geom_ad_01
280005FC = fx_character.fxl | fx_character_aikido_simulacra_cast
280006E3 = fx_character.fxl | fx_character_system_check_loop
28000705 = fx_character.fxl | combat_rev9_components_energy_speed_leftfoot_flare
28000045 = fx_character.fxl | viruscast_split_acoustic_decoys_acousticdecoy1_end
2800019C = fx_character.fxl | viruscast_split_move_accelerator_moveaccelerator3_start
28000956 = fx_character.fxl | viruscast_split_stopproxy_stopproxy1_end
28000A17 = fx_character.fxl | viruscast_split_staticbarrage_staticbarrage1_middle
124630D7 = fx_character.fxl | signal_boost
5800008B = fx_dialog.fxl | Oracle_Random Quotes_Oracle_ForEveryDoorThatClosesAnotherOpens
58000192 = fx_dialog.fxl | Persephone_Cell Phone_Persephone_GotoHelClub
