GoidDecimal;ClothesType;ShortName;ItemName;ModelId;ColorId
48095;1750286665;WinterBathrobe_F_WW;WinterBathrobe_F_WW;27;0
48107;1733050697;WinterLeggings_F_W;WinterLeggings_F_W;1;0
48102;1750286665;WinterBathrobe_F_PuW;WinterBathrobe_F_PuW;27;7
48100;1750286665;WinterBathrobe_F_SB;WinterBathrobe_F_SB;27;5
43070;1950892361;Fclothing_Beta_Hat;Fclothing_Beta_Hat;21;0
48096;1750286665;WinterBathrobe_F_WP;WinterBathrobe_F_WP;27;1
40440;1950892361;Event2_0MerovingianReward3F;Event2_0MerovingianReward3F;9;0
39526;1817203785;ProgramLauncher2F;ProgramLauncher2F;2;0
48103;2001092937;WinterBoots_F_W;WinterBoots_F_W;1;8
48104;2001092937;WinterBoots_F_R;WinterBoots_F_R;1;9
45923;1950892361;Fclothing_Hat_Baseball_C2;Fclothing_Hat_Baseball_C2;24;0
45922;1950892361;Fclothing_Hat_Baseball_C1;Fclothing_Hat_Baseball_C1;20;0
45926;1950892361;Fclothing_Hat_Baseball_C5;Fclothing_Hat_Baseball_C5;26;0
45924;1950892361;Fclothing_Hat_Baseball_C3;Fclothing_Hat_Baseball_C3;25;0
45925;1950892361;Fclothing_Hat_Baseball_C4;Fclothing_Hat_Baseball_C4;27;0
48121;1750286665;RecaptureFShirt2;RecaptureFShirt2;27;9
48120;1750286665;RecaptureFShirt1;RecaptureFShirt1;27;8
47947;2001092937;ValkFShoes;ValkFShoes;5;1
7716;2001682761;TestProcCoat;TestProcCoat;1;0
39528;1817203785;ProgramLauncher4F;ProgramLauncher4F;7;0
43017;1950892361;WinterHolidayHat_F_R;WinterHolidayHat_F_R;16;0
46666;1816609097;WinterFormalGloves_F_W;WinterFormalGloves_F_W;10;0
46665;1816609097;WinterFormalGloves_F_B;WinterFormalGloves_F_B;11;0
39537;1817203785;LucianProgramLauncher2F;LucianProgramLauncher2F;2;0
46661;1950892361;WinterFormalHat_F_B;WinterFormalHat_F_B;29;0
46662;1950892361;WinterFormalHat_F_W;WinterFormalHat_F_W;30;0
48099;1750286665;WinterBathrobe_F_PW;WinterBathrobe_F_PW;27;4
40446;2001092937;Event2_0ZionReward3F;Event2_0ZionReward3F;3;0
39530;1817203785;ProgramLauncher6F;ProgramLauncher6F;4;0
39525;1817203785;ProgramLauncher1F;ProgramLauncher1F;7;0
40436;1816609097;Event2_0MerovingianReward1F;Event2_0MerovingianReward1F;6;0
40432;1750286665;Event2_0MachineReward2F;Event2_0MachineReward2F;20;5
47257;2001092937;WinterFormalShoes_M_W;WinterFormalShoes_M_W;1;2
39533;1817203785;ProgramLauncher3M;ProgramLauncher3M;1;0
40435;2001092937;Event2_0MachineReward3M;Event2_0MachineReward3M;1;0
39535;1817203785;ProgramLauncher5M;ProgramLauncher5M;1;0
39536;1817203785;ProgramLauncher6M;ProgramLauncher6M;1;0
40442;2001027401;Event2_0ZionReward1F;Event2_0ZionReward1F;1;7
40430;2001027401;Event2_0MachineReward1F;Event2_0MachineReward1F;1;0
47256;2001092937;WinterFormalShoes_M_B;WinterFormalShoes_M_B;1;1
5334;2001682761;Fclothing_Coat_A1_C28;Fclothing_Coat_A1_C28;1;27
5335;2001682761;Fclothing_Coat_A1_C29;Fclothing_Coat_A1_C29;1;28
5332;2001682761;Fclothing_Coat_A1_C26;Fclothing_Coat_A1_C26;1;25
5333;2001682761;Fclothing_Coat_A1_C27;Fclothing_Coat_A1_C27;1;26
5326;2001682761;Fclothing_Coat_A1_C20;Fclothing_Coat_A1_C20;1;19
5327;2001682761;Fclothing_Coat_A1_C21;Fclothing_Coat_A1_C21;1;20
5329;2001682761;Fclothing_Coat_A1_C23;Fclothing_Coat_A1_C23;1;22
742;1733050697;Fclothing_Leggings_A1_C1;Fclothing_Leggings_A1_C1;1;0
5321;2001682761;Fclothing_Coat_A1_C15;Fclothing_Coat_A1_C15;1;14
5320;2001682761;Fclothing_Coat_A1_C14;Fclothing_Coat_A1_C14;1;13
5323;2001682761;Fclothing_Coat_A1_C17;Fclothing_Coat_A1_C17;1;16
5322;2001682761;Fclothing_Coat_A1_C16;Fclothing_Coat_A1_C16;1;15
5317;2001682761;Fclothing_Coat_A1_C11;Fclothing_Coat_A1_C11;1;10
5316;2001682761;Fclothing_Coat_A1_C10;Fclothing_Coat_A1_C10;1;9
5319;2001682761;Fclothing_Coat_A1_C13;Fclothing_Coat_A1_C13;1;12
5318;2001682761;Fclothing_Coat_A1_C12;Fclothing_Coat_A1_C12;1;11
5325;2001682761;Fclothing_Coat_A1_C19;Fclothing_Coat_A1_C19;1;18
5324;2001682761;Fclothing_Coat_A1_C18;Fclothing_Coat_A1_C18;1;17
5662;1397768521;Fclothing_Pants_A1_C28;Fclothing_Pants_A1_C28;1;27
5663;1397768521;Fclothing_Pants_A1_C29;Fclothing_Pants_A1_C29;1;28
5658;1397768521;Fclothing_Pants_A1_C24;Fclothing_Pants_A1_C24;1;23
5659;1397768521;Fclothing_Pants_A1_C25;Fclothing_Pants_A1_C25;1;24
5660;1397768521;Fclothing_Pants_A1_C26;Fclothing_Pants_A1_C26;1;25
5661;1397768521;Fclothing_Pants_A1_C27;Fclothing_Pants_A1_C27;1;26
5654;1397768521;Fclothing_Pants_A1_C20;Fclothing_Pants_A1_C20;1;19
5655;1397768521;Fclothing_Pants_A1_C21;Fclothing_Pants_A1_C21;1;20
5656;1397768521;Fclothing_Pants_A1_C22;Fclothing_Pants_A1_C22;1;21
5657;1397768521;Fclothing_Pants_A1_C23;Fclothing_Pants_A1_C23;1;22
5310;2001682761;Fclothing_Coat_A1_C4;Fclothing_Coat_A1_C4;1;3
5309;2001682761;Fclothing_Coat_A1_C3;Fclothing_Coat_A1_C3;1;2
5315;2001682761;Fclothing_Coat_A1_C9;Fclothing_Coat_A1_C9;1;8
5314;2001682761;Fclothing_Coat_A1_C8;Fclothing_Coat_A1_C8;1;7
800;1397768521;Fclothing_Pants_A1_C9;Fclothing_Pants_A1_C9;1;8
751;1397768521;Fclothing_Pants_A1_C8;Fclothing_Pants_A1_C8;1;7
753;1397768521;Fclothing_Pants_A1_C1;Fclothing_Pants_A1_C1;1;0
747;1397768521;Fclothing_Pants_A1_C3;Fclothing_Pants_A1_C3;1;2
746;1397768521;Fclothing_Pants_A1_C2;Fclothing_Pants_A1_C2;1;1
749;1397768521;Fclothing_Pants_A1_C5;Fclothing_Pants_A1_C5;1;4
748;1397768521;Fclothing_Pants_A1_C4;Fclothing_Pants_A1_C4;1;3
808;1397768521;Fclothing_Pants_A1_C7;Fclothing_Pants_A1_C7;1;6
750;1397768521;Fclothing_Pants_A1_C6;Fclothing_Pants_A1_C6;1;5
39775;2001027401;Fclothing_Glasses_A1_C9;Fclothing_Glasses_A1_C9;1;8
5893;2001027401;Fclothing_Glasses_A1_C8;Fclothing_Glasses_A1_C8;1;7
5886;2001027401;Fclothing_Glasses_A1_C1;Fclothing_Glasses_A1_C1;1;0
5888;2001027401;Fclothing_Glasses_A1_C3;Fclothing_Glasses_A1_C3;1;2
5887;2001027401;Fclothing_Glasses_A1_C2;Fclothing_Glasses_A1_C2;1;1
5890;2001027401;Fclothing_Glasses_A1_C5;Fclothing_Glasses_A1_C5;1;4
5889;2001027401;Fclothing_Glasses_A1_C4;Fclothing_Glasses_A1_C4;1;3
5892;2001027401;Fclothing_Glasses_A1_C7;Fclothing_Glasses_A1_C7;1;6
5891;2001027401;Fclothing_Glasses_A1_C6;Fclothing_Glasses_A1_C6;1;5
5338;2001682761;Fclothing_Coat_A1_C32;Fclothing_Coat_A1_C32;1;31
5337;2001682761;Fclothing_Coat_A1_C31;Fclothing_Coat_A1_C31;1;30
5336;2001682761;Fclothing_Coat_A1_C30;Fclothing_Coat_A1_C30;1;29
5330;2001682761;Fclothing_Coat_A1_C24;Fclothing_Coat_A1_C24;1;23
5331;2001682761;Fclothing_Coat_A1_C25;Fclothing_Coat_A1_C25;1;24
5328;2001682761;Fclothing_Coat_A1_C22;Fclothing_Coat_A1_C22;1;21
802;1397768521;Fclothing_Pants_A1_C11;Fclothing_Pants_A1_C11;1;10
801;1397768521;Fclothing_Pants_A1_C10;Fclothing_Pants_A1_C10;1;9
804;1397768521;Fclothing_Pants_A1_C13;Fclothing_Pants_A1_C13;1;12
803;1397768521;Fclothing_Pants_A1_C12;Fclothing_Pants_A1_C12;1;11
806;1397768521;Fclothing_Pants_A1_C15;Fclothing_Pants_A1_C15;1;14
805;1397768521;Fclothing_Pants_A1_C14;Fclothing_Pants_A1_C14;1;13
5651;1397768521;Fclothing_Pants_A1_C17;Fclothing_Pants_A1_C17;1;16
807;1397768521;Fclothing_Pants_A1_C16;Fclothing_Pants_A1_C16;1;15
5653;1397768521;Fclothing_Pants_A1_C19;Fclothing_Pants_A1_C19;1;18
5652;1397768521;Fclothing_Pants_A1_C18;Fclothing_Pants_A1_C18;1;17
